0.817222	0.042837	
0.954572	0.489930	
0.254589	0.871804	
0.406413	0.577527	
0.503699	0.669073	
0.115858	0.223266	
0.439614	0.594689	
0.945485	0.767162	
0.693600	0.331971	
0.439275	0.900873	
0.968468	0.049975	
0.925573	0.109711	
0.908916	0.142818	
0.346247	0.366690	
0.953997	0.828802	
0.668158	0.727111	
0.548112	0.118347	
0.058442	0.242346	
0.106820	0.323120	
0.683999	0.974667	
0.235064	0.722065	
0.739485	0.525438	
0.040516	0.953238	
0.073369	0.117966	
0.661787	0.645803	
0.009278	0.938647	
0.832750	0.033539	
0.682295	0.332809	
0.521770	0.393035	
0.739040	0.044603	
0.645719	0.606018	
0.344770	0.554086	
0.523535	0.049394	
0.169660	0.469128	
0.628165	0.572770	
0.543054	0.106728	
0.769923	0.089178	
0.809241	0.905833	
0.334429	0.756244	
0.192038	0.585401	
0.826425	0.725320	
0.446174	0.846835	
0.756109	0.931939	
0.102941	0.121482	
0.740223	0.923354	
0.813007	0.211839	
0.379002	0.886863	
0.506992	0.010285	
0.863428	0.640357	
0.477761	0.728034	
